"Name","Set.Name","R","High","Med","Low"
"Lazav, Wearer of Faces","MKM","R",0.25,0.23,0.02
"Lazav, Wearer of Faces (Showcase) (0318)","MKM","R",0.67,0.54,0.13
"Lazav, Wearer of Faces (Showcase) (0366)","MKM","R",0.49,0.44,0.05
"Lead Pipe","MKM","U",0.3,0.29,0.01
"Leering Onlooker","MKM","U",0.26,0.25,0.01
"Leyline of the Guildpact","MKM","R",7.88,5.08,2.8
"Leyline of the Guildpact (Extended Art)","MKM","R",11.07,7.42,3.65
"Lightning Helix","MKM","U",0.34,0.3,0.04
"Living Conundrum","MKM","U",0.11,0.1,0.01
"Long Goodbye","MKM","U",0.42,0.37,0.05
"Lost in the Maze","MKM","R",0.37,0.27,0.1
"Lost in the Maze (Extended Art)","MKM","R",0.48,0.42,0.06
"Loxodon Eavesdropper","MKM","C",0.02,0.01,0.01
"Lumbering Laundry","MKM","U",0.02,0.01,0.01
"Lush Portico","MKM","R",10.91,6.89,4.02
"Lush Portico (Borderless)","MKM","R",19.25,13.25,6
"Macabre Reconstruction","MKM","C",0.03,0.02,0.01
"Magnetic Snuffler","MKM","U",0.16,0.15,0.01
"Magnetic Snuffler (Showcase)","MKM","U",0.47,0.46,0.01
"Magnifying Glass","MKM","C",0.19,0.18,0.01
"Make Your Move","MKM","C",0.15,0.14,0.01
"Makeshift Binding","MKM","C",0.1,0.09,0.01
"Makeshift Binding (Showcase)","MKM","C",0.26,0.25,0.01
"Marketwatch Phantom","MKM","C",0.07,0.06,0.01
"Massacre Girl, Known Killer","MKM","M",8.77,5.77,3
"Massacre Girl, Known Killer (Showcase)","MKM","M",6.04,3.79,2.25
"Massacre Girl, Known Killer (Showcase) (Invisible Ink)","MKM","M",15.98,8.48,7.5
"Meddling Youths","MKM","U",0.36,0.35,0.01
"Meddling Youths (Showcase)","MKM","U",0.14,0.13,0.01
"Merfolk Token","MKM","T",0.18,0.17,0.01
"Meticulous Archive","MKM","R",25.49,13.59,11.9
"Meticulous Archive (Borderless)","MKM","R",50.31,35.67,14.64
"Mistway Spy","MKM","U",0.12,0.11,0.01
"Mountain (0275)","MKM","L",0.5,0.45,0.05
"Mountain (0283)","MKM","L",0.16,0.14,0.02
"Mountain (0284)","MKM","L",0.09,0.07,0.02
"Murder","MKM","C",0.09,0.08,0.01
"Murder (Showcase)","MKM","C",0.33,0.32,0.01
"Museum Nightwatch","MKM","C",0.02,0.01,0.01
"Neighborhood Guardian","MKM","U",0.1,0.09,0.01
"Neighborhood Guardian (Showcase)","MKM","U",0.11,0.1,0.01
"Nervous Gardener","MKM","C",0.13,0.12,0.01
"Nightdrinker Moroii","MKM","U",0.02,0.01,0.01
"Niv-Mizzet, Guildpact","MKM","R",0.36,0.35,0.01
"Niv-Mizzet, Guildpact (Showcase) (319)","MKM","R",1.31,1.23,0.08
"Niv-Mizzet, Guildpact (Showcase) (368)","MKM","R",0.67,0.57,0.1
"No More Lies","MKM","U",0.78,0.63,0.15
"No Witnesses","MKM","R",0.25,0.2,0.05
"No Witnesses (Extended Art)","MKM","R",0.27,0.22,0.05
"Not on my Watch","MKM","U",0.24,0.23,0.01
"Not on my Watch (Showcase)","MKM","U",0.33,0.32,0.01
"Novice Inspector","MKM","C",0.28,0.27,0.01
"Offender at Large","MKM","C",0.02,0.01,0.01
"Officious Interrogation","MKM","R",0.32,0.27,0.05
"Officious Interrogation (Showcase)","MKM","R",0.41,0.32,0.09
"On the Job","MKM","C",0.02,0.01,0.01
"On the Job (Showcase)","MKM","C",0.02,0.01,0.01
"Ooze // A Mysterious Creature Double-Sided Token","MKM","T",0.18,0.17,0.01
"Ooze Token","MKM","T",0.41,0.35,0.06
"Out Cold","MKM","C",0.08,0.07,0.01
"Outrageous Robbery","MKM","R",0.61,0.52,0.09
"Outrageous Robbery (Extended Art)","MKM","R",0.8,0.7,0.1
"Perimeter Enforcer","MKM","U",0.06,0.05,0.01
"Person of Interest","MKM","C",0.02,0.01,0.01
"Persuasive Interrogators","MKM","U",0.17,0.16,0.01
"Persuasive Interrogators (Showcase)","MKM","U",0.06,0.05,0.01
"Pick Your Poison","MKM","C",0.37,0.33,0.04
"Plains (0272)","MKM","L",0.41,0.4,0.01
"Plains (0277)","MKM","L",0.31,0.3,0.01
"Plains (0278)","MKM","L",0.18,0.16,0.02
"Plant Token","MKM","T",0.58,0.4,0.18
"Polygraph Orb","MKM","U",0.11,0.1,0.01
"Pompous Gadabout","MKM","U",0.07,0.06,0.01
"Presumed Dead","MKM","U",0.17,0.16,0.01
"Private Eye","MKM","U",0.28,0.27,0.01
"Proft's Eidetic Memory","MKM","R",3.88,1.99,1.89
"Proft's Eidetic Memory (Extended Art)","MKM","R",7.01,6.26,0.75
"Projektor Inspector","MKM","C",0.02,0.01,0.01
"Public Thoroughfare","MKM","C",0.21,0.2,0.01
"Punch Card Token (X1 // X2)","MKM","T",0.08,0.07,0.01
"Push // Pull","MKM","U",0.26,0.25,0.01
"Pyrotechnic Performer","MKM","R",0.28,0.24,0.04
"Pyrotechnic Performer (Extended Art)","MKM","R",0.36,0.31,0.05
"Rakdos, Patron of Chaos","MKM","M",4.67,2.5,2.17
"Rakdos, Patron of Chaos (Showcase) (0320)","MKM","M",12.3,8.3,4
"Rakdos, Patron of Chaos (Showcase) (0369)","MKM","M",5.9,3.99,1.91
"Rakdos, Patron of Chaos (Showcase) (Invisible Ink)","MKM","M",9.26,5.27,3.99
"Rakish Scoundrel","MKM","C",0.02,0.01,0.01
"Raucous Theater","MKM","R",18.36,10.52,7.84
"Raucous Theater (Borderless)","MKM","R",30.49,19.49,11
"Reasonable Doubt","MKM","C",0.02,0.01,0.01
"Reckless Detective","MKM","U",0.05,0.04,0.01
"Red Herring","MKM","C",0.08,0.07,0.01
"Reenact the Crime","MKM","R",0.54,0.49,0.05
