"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","barrel"
"SI",2020-09-23,98.2,-2.58,4.96,"Castro, Miguel",595281,612434,"strikeout","called_strike",NA,NA,NA,NA,9,"Kevin Kiermaier called out on strikes.","R","L","R","NYM","TB","S",2,NA,2,2,2020,-1.29,1,0.66,2.02,NA,642715,NA,1,7,"Top",NA,NA,NA,NA,467092,NA,NA,11.8515498029782,-142.455465450005,-4.8153548461117,-20.2961178385442,32.8946469455444,-17.5782040927231,3.52,1.67,NA,NA,NA,98.9,2243,6.9,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.58,NA,NA,0,1,0,0,NA,48,5,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",246,0.023,-0.286,NA
"SL",2020-09-23,88.1,-2.84,4.99,"Castro, Miguel",595281,612434,NA,"swinging_strike",NA,NA,NA,NA,14,"Kevin Kiermaier called out on strikes.","R","L","R","NYM","TB","S",NA,NA,2,1,2020,0.58,-0.33,1.69,1.53,NA,642715,NA,1,7,"Top",NA,NA,NA,NA,467092,NA,NA,9.82945111027786,-127.996479890344,-1.60830350988739,4.34318598811447,25.9084780336155,-35.6497364642235,3.25,1.49,NA,NA,NA,88.3,2882,6.5,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.84,NA,NA,NA,NA,NA,NA,NA,48,4,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",241,0,-0.116,NA
"SI",2020-09-23,98.2,-2.65,5.06,"Castro, Miguel",595281,612434,NA,"ball",NA,NA,NA,NA,13,"Kevin Kiermaier called out on strikes.","R","L","R","NYM","TB","B",NA,NA,1,1,2020,-1.48,0.87,-1.7,2.44,NA,642715,NA,1,7,"Top",NA,NA,NA,NA,467092,NA,NA,6.00776491041937,-142.859542259231,-3.63090502603983,-21.7193486963672,33.384902105955,-19.6242632917804,3.44,1.59,NA,NA,NA,98.2,2427,6.4,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.65,NA,NA,NA,NA,NA,NA,NA,48,3,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",240,0,0.067,NA
"SI",2020-09-23,99.4,-2.49,5.01,"Castro, Miguel",595281,612434,NA,"swinging_strike",NA,NA,NA,NA,4,"Kevin Kiermaier called out on strikes.","R","L","R","NYM","TB","S",NA,NA,1,0,2020,-1.46,0.99,-0.62,2.4,NA,642715,NA,1,7,"Top",NA,NA,NA,NA,467092,NA,NA,8.6287897434917,-144.43931126419,-4.08260478976016,-22.5164609467525,34.3682881476055,-17.5078395769307,3.25,1.49,NA,NA,NA,99.9,2462,6.7,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.49,NA,NA,NA,NA,NA,NA,NA,48,2,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",242,0,-0.056,NA
"SI",2020-09-23,99.2,-2.8,5.02,"Castro, Miguel",595281,612434,NA,"ball",NA,NA,NA,NA,13,"Kevin Kiermaier called out on strikes.","R","L","R","NYM","TB","B",NA,NA,0,0,2020,-1.65,0.82,-0.09,0.82,NA,642715,NA,1,7,"Top",NA,NA,NA,NA,467092,NA,NA,11.3380908522522,-143.846155911224,-8.01270104994061,-25.5401243858469,34.8157534559886,-18.9208119711207,3.47,1.59,NA,NA,NA,99.5,2520,6.8,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.8,NA,NA,NA,NA,NA,NA,NA,48,1,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",245,0,0.019,NA
"SI",2020-09-23,98,-2.37,5,"Castro, Miguel",642715,612434,"double","hit_into_play",NA,NA,NA,NA,7,"Willy Adames doubles (15) on a sharp ground ball to left fielder Dominic Smith.","R","R","R","NYM","TB","X",7,"ground_ball",2,1,2020,-1.62,0.86,-0.5,1.95,NA,NA,NA,1,7,"Top",38.08,104.5,NA,NA,467092,NA,NA,8.77861602826757,-142.399064696164,-4.71859000026618,-24.0253692878962,32.4807283170124,-19.5441554583745,3.48,1.67,38,100.4,-1,97.9,2609,6.3,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.37,0.413,0.405,1.25,1,1,1,2,47,4,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",249,-0.029,0.4,0
"SI",2020-09-23,99,-2.54,5.07,"Castro, Miguel",642715,612434,NA,"swinging_strike",NA,NA,NA,NA,13,"Willy Adames doubles (15) on a sharp ground ball to left fielder Dominic Smith.","R","R","R","NYM","TB","S",NA,NA,2,0,2020,-1.56,0.96,-1.14,2.57,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,467092,NA,NA,7.5432168478543,-143.911734798517,-3.63264794921038,-23.4923064513151,33.8530804423586,-18.1261525820263,3.48,1.67,NA,NA,NA,99.6,2585,6.7,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.54,NA,NA,NA,NA,NA,NA,NA,47,3,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",242,0,-0.039,NA
"SI",2020-09-23,98.9,-2.24,5.08,"Castro, Miguel",642715,612434,NA,"ball",NA,NA,NA,NA,14,"Willy Adames doubles (15) on a sharp ground ball to left fielder Dominic Smith.","R","R","R","NYM","TB","B",NA,NA,1,0,2020,-1.61,0.83,0.95,1.95,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,467092,NA,NA,12.4797136826237,-143.387607405644,-5.00859904328906,-25.0608446691144,33.1296263051209,-19.7286518909764,3.86,1.9,NA,NA,NA,99.1,2439,6.6,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.24,NA,NA,NA,NA,NA,NA,NA,47,2,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",251,0,0.04,NA
"SI",2020-09-23,99.7,-2.51,5.07,"Castro, Miguel",642715,612434,NA,"ball",NA,NA,NA,NA,13,"Willy Adames doubles (15) on a sharp ground ball to left fielder Dominic Smith.","R","R","R","NYM","TB","B",NA,NA,0,0,2020,-1.45,0.92,-1.58,1.87,NA,NA,NA,1,7,"Top",NA,NA,NA,NA,467092,NA,NA,5.95447302575624,-145.032624357084,-5.58305278772526,-21.8680546247623,34.2156399835288,-18.0043547204139,3.88,1.9,NA,NA,NA,99.6,2349,6.3,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.51,NA,NA,NA,NA,NA,NA,NA,47,1,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",240,0,0.027,NA
"SI",2020-09-23,99.3,-2.8,5.16,"Castro, Miguel",621563,612434,"strikeout","foul_tip",NA,NA,NA,NA,5,"Joey Wendle strikes out on a foul tip.","R","L","R","NYM","TB","S",2,NA,2,2,2020,-1.54,0.94,-0.13,2.28,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,467092,NA,NA,10.9378858113503,-144.100055809417,-4.64853091230774,-23.9902660548079,34.6447596717233,-18.0926433313213,3.05,1.46,NA,NA,NA,99.4,2531,6.6,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.8,NA,NA,0,1,0,0,NA,46,7,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",240,0.014,-0.215,NA
"SI",2020-09-23,94.9,-2.62,5.04,"Castro, Miguel",621563,612434,NA,"foul",NA,NA,NA,NA,14,"Joey Wendle strikes out on a foul tip.","R","L","R","NYM","TB","S",NA,NA,2,2,2020,-1.73,0.27,0.04,1.07,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,467092,NA,NA,10.8957035837538,-137.611149592961,-5.28229034547373,-24.4536691698753,31.6051480429011,-27.7071345896519,3.05,1.46,2,89,-23,95.2,2315,6.8,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.62,NA,NA,NA,NA,NA,NA,NA,46,6,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",243,0,0,NA
"SL",2020-09-23,88.4,-2.95,4.99,"Castro, Miguel",621563,612434,NA,"foul",NA,NA,NA,NA,5,"Joey Wendle strikes out on a foul tip.","R","L","R","NYM","TB","S",NA,NA,2,2,2020,0.38,0.2,0.24,2.44,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,467092,NA,NA,6.98932845733801,-128.633137972986,-0.550042772571022,2.71159318927004,27.3146105030049,-30.0619022573375,3.05,1.46,325,97.8,18,88.5,2881,6.4,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.95,NA,NA,NA,NA,NA,NA,NA,46,5,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",222,0,0,NA
"SI",2020-09-23,98.4,-2.72,4.98,"Castro, Miguel",621563,612434,NA,"foul",NA,NA,NA,NA,4,"Joey Wendle strikes out on a foul tip.","R","L","R","NYM","TB","S",NA,NA,2,1,2020,-1.41,0.78,-0.29,2.01,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,467092,NA,NA,9.90129129016544,-142.974742703692,-4.41540653062397,-21.624365397369,32.8276448169468,-20.6387674858263,3.05,1.46,204,78.4,60,99,2409,6.7,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.72,NA,NA,NA,NA,NA,NA,NA,46,4,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",242,0,-0.076,NA
"SI",2020-09-23,97.4,-3.02,5.15,"Castro, Miguel",621563,612434,NA,"ball",NA,NA,NA,NA,11,"Joey Wendle strikes out on a foul tip.","R","L","R","NYM","TB","B",NA,NA,1,1,2020,-1.36,0.76,-2,3.48,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,467092,NA,NA,5.90658094934594,-141.754992226372,-0.696704490944848,-19.7130813192201,32.8224798924586,-21.9500901410687,3.21,1.56,NA,NA,NA,97.9,2161,6.6,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-3.02,NA,NA,NA,NA,NA,NA,NA,46,3,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",247,0,0.051,NA
"SL",2020-09-23,85.4,-2.99,5.09,"Castro, Miguel",621563,612434,NA,"called_strike",NA,NA,NA,NA,4,"Joey Wendle strikes out on a foul tip.","R","L","R","NYM","TB","S",NA,NA,1,0,2020,0.72,-0.32,-0.47,2.59,NA,NA,NA,0,7,"Top",NA,NA,NA,NA,467092,NA,NA,4.50425259979619,-124.422149517369,0.952939920531436,6.75574560875736,21.9133382755548,-35.8886015895835,3.26,1.54,NA,NA,NA,86.1,2860,6.4,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.99,NA,NA,NA,NA,NA,NA,NA,46,2,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",359,0,-0.05,NA
