"SKU","Shape","Carat","Clarity","Color","Polish","Symmetry","Fluorescence","Measurements","Lab","Cut","x","y","z","price","listingURL","imgURL","priceClean"
"sku_137547 ","Round",0.8,"VVS2","G","Excellent","Excellent","Faint","5.89-5.92x3.70","GIA","Excellent",5.89,5.92,3.7,"$4,929.00","https://diamondsdirect.com/round-0-8-g-vvs2-137547/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/123341/images/132174/220921-51__24359.1675330875.220.290.jpg?c=1",4929
"sku_90583 ","Heart",0.8,"SI2","FALSE","Excellent","Very Good","None","5.75x6.33x3.66","GIA",NA,5.75,6.33,3.66,"$1,799.00","https://diamondsdirect.com/heart-0-8-f-si2-90583/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/89210/images/92512/222178-356__20259.1675332054.220.290.jpg?c=1",1799
"sku_136587 ","Oval",0.8,"SI1","D","Excellent","Very Good","None","7.01x5.26x3.36","GIA",NA,7.01,5.26,3.36,"$2,661.00","https://diamondsdirect.com/oval-0-8-d-si1-136587/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/122451/images/131284/223595-643__46948.1675333272.220.290.jpg?c=1",2661
"sku_70285 ","Round",0.5,"VVS1","I","Excellent","Excellent","None","5.16-5.19x3.11","GIA","Excellent",5.16,5.19,3.11,"$1,682.00","https://diamondsdirect.com/round-0-5-i-vvs1-70285/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/61832/images/65257/220568-153__44887.1675334965.220.290.jpg?c=1",1682
"sku_87618 ","Pear",0.8,"VVS2","G","Excellent","Excellent","Strong","7.84x5.15x3.29","GIA",NA,7.84,5.15,3.29,"$2,882.00","https://diamondsdirect.com/pear-0-8-g-vvs2-87618/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/87096/images/90415/222191-583__40915.1675334070.220.290.jpg?c=1",2882
"sku_106133 ","Cushion",0.8,"VS2","FALSE","Excellent","Very Good","None","5.79x4.78x3.32","GIA",NA,5.79,4.78,3.32,"$2,066.00","https://diamondsdirect.com/cushion-0-8-f-vs2-106133/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/78345/images/81682/222201-1289__69829.1675331165.220.290.jpg?c=1",2066
"sku_94071 ","Oval",0.8,"SI2","E","Excellent","Very Good","None","6.98x5.20x3.31","GIA",NA,6.98,5.2,3.31,"$2,263.00","https://diamondsdirect.com/oval-0-8-e-si2-94071/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/66419/images/69812/223531-290__85576.1675331506.220.290.jpg?c=1",2263
"sku_106130 ","Cushion",0.8,"VS1","FALSE","Excellent","Very Good","None","5.17x5.14x3.50","GIA",NA,5.17,5.14,3.5,"$2,188.00","https://diamondsdirect.com/cushion-0-8-f-vs1-106130/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/78781/images/82116/221130-245__46746.1675327498.220.290.jpg?c=1",2188
"sku_106267 ","Cushion",0.8,"VS2","J","Excellent","Very Good","None","5.19x5.08x3.45","GIA",NA,5.19,5.08,3.45,"$1,348.00","https://diamondsdirect.com/cushion-0-8-j-vs2-106267/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/79944/images/83277/220472-867__02914.1675335071.220.290.jpg?c=1",1348
"sku_130619 ","Oval",0.8,"VS2","G","Excellent","Very Good","Faint","6.99x5.21x3.31","GIA",NA,6.99,5.21,3.31,"$2,763.00","https://diamondsdirect.com/oval-0-8-g-vs2-130619/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/116027/images/124113/220825-229__37522.1675335404.220.290.jpg?c=1",2763
